## L1Farm (2025)
# Subset AR-L1 Asian (HC)

## L1Farm site:
# https://github.com/ferrasa/l1farm/

## Reference:
# A comprehensive identification and annotation of mobile LINE-1 retrotransposons across human reference and personal genomes. (Unpublished)

## Genome Assembly:
# Individual Asian genome (assembly KOREF_20090224).

## Columns description:
# (01)	Chromosome name. 
# (02)	Starting position of the feature in the chromosome.
# (03)	Ending position of the feature in the chromosome.
# (04)	Name of the L1 subfamily.
# (05)	Name of the L1 subfamily region.
# (06)	Strand.
# (07)	Number of mismatches (in bp).
# (08)	Number of deletions (in bp).
# (09)	Number of insertions (in bp).
# (10)	Locus length (in bp).
# (11)	Sequence identity (0.70 - 1.00) or (0.99 - 1.00).
# (12)	Sequence similarity (0.90 - 1.00).

chrX	11635289	11636195	L1HS	5UTR	+	1	0	0	906	0.998896	1
chr7	96319025	96319931	L1HS	5UTR	-	1	0	0	906	0.998896	1
chr7	49695539	49696445	L1HS	5UTR	-	1	0	0	906	0.998896	1
chr5	108622987	108623893	L1HS	5UTR	+	1	0	0	906	0.998896	1
chrX	11868450	11869356	L1HS	5UTR	-	1	0	0	906	0.998896	1
chr4	88492418	88493324	L1HS	5UTR	-	2	0	0	906	0.997792	1
chr4	20770111	20771017	L1HS	5UTR	+	2	0	0	906	0.997792	1
chr3	110401409	110402315	L1HS	5UTR	+	2	0	0	906	0.997792	1
chr4	91821027	91821933	L1HS	5UTR	-	2	0	0	906	0.997792	1
chr8	135157295	135158199	L1HS	5UTR	-	1	0	2	904	0.998896	0.997792
chr2	4759194	4760100	L1HS	5UTR	+	3	0	0	906	0.996689	1
chr7	141272077	141272983	L1HS	5UTR	-	3	0	0	906	0.996689	1
chr6	133388674	133389580	L1HS	5UTR	-	3	0	0	906	0.996689	1
chr11	94809029	94809933	L1HS	5UTR	+	2	0	2	904	0.997792	0.997792
chrX	118458582	118459488	L1HS	5UTR	-	4	0	0	906	0.995585	1
chr7	110675934	110676840	L1HS	5UTR	-	4	0	0	906	0.995585	1
chr9	46334796	46335702	L1HS	5UTR	-	4	0	0	906	0.995585	1
chr1	67322288	67323190	L1HS	5UTR	-	2	0	4	902	0.997792	0.995585
chr12	125354636	125355540	L1HS	5UTR	-	3	0	2	904	0.996689	0.997792
chr1	84295774	84296678	L1HS	5UTR	-	3	0	2	904	0.996689	0.997792
chr4	137439249	137440153	L1HS	5UTR	-	3	0	2	904	0.996689	0.997792
chr9	114605359	114606263	L1HS	5UTR	-	3	0	2	904	0.996689	0.997792
chr5	103882188	103883092	L1HS	5UTR	+	3	0	2	904	0.996689	0.997792
chr3	160300973	160301879	L1HS	5UTR	-	5	0	0	906	0.994481	1
