## L1Farm (2025)
# Subset AR-L1 Caucasian (HC)

## L1Farm site:
# https://github.com/ferrasa/l1farm/

## Reference:
# A comprehensive identification and annotation of mobile LINE-1 retrotransposons across human reference and personal genomes. (Unpublished)

## Genome Assembly:
# Diploid genome sequence of Dr J. Craig Venter - HuRef+HuRefPrime including unplaced scaffolds shorter than 3 Kbp (GCA_000252825.1).

## Columns description:
# (01)	Chromosome name. 
# (02)	Starting position of the feature in the chromosome.
# (03)	Ending position of the feature in the chromosome.
# (04)	Name of the L1 subfamily.
# (05)	Name of the L1 subfamily region.
# (06)	Strand.
# (07)	Number of mismatches (in bp).
# (08)	Number of deletions (in bp).
# (09)	Number of insertions (in bp).
# (10)	Locus length (in bp).
# (11)	Sequence identity (0.70 - 1.00) or (0.99 - 1.00).
# (12)	Sequence similarity (0.90 - 1.00).

CM000484.1	9504214	9505120	L1HS	5UTR	+	1	0	0	906	0.998896	1
CM000513.1	9504160	9505066	L1HS	5UTR	+	1	0	0	906	0.998896	1
CM000495.1	132206181	132207087	L1HS	5UTR	-	2	0	0	906	0.997792	1
CM000465.1	84019239	84020145	L1HS	5UTR	-	2	0	0	906	0.997792	1
CM000466.1	103768634	103769540	L1HS	5UTR	+	2	0	0	906	0.997792	1
CM000495.1	103769082	103769988	L1HS	5UTR	+	2	0	0	906	0.997792	1
CM000494.1	84019667	84020573	L1HS	5UTR	-	2	0	0	906	0.997792	1
CM000469.1	130406512	130407416	L1HS	5UTR	-	1	0	2	904	0.998896	0.997792
CM000493.1	106292482	106293388	L1HS	5UTR	+	3	0	0	906	0.996689	1
CM000466.1	132206157	132207063	L1HS	5UTR	-	3	0	0	906	0.996689	1
CM000478.1	63846714	63847619	L1HS	5UTR	+	2	0	1	905	0.997792	0.998896
CM000507.1	63846570	63847475	L1HS	5UTR	+	2	0	1	905	0.997792	0.998896
CM000498.1	130406341	130407245	L1HS	5UTR	-	2	0	2	904	0.997792	0.997792
CM000472.1	91234407	91235311	L1HS	5UTR	+	2	0	2	904	0.997792	0.997792
CM000501.1	91233566	91234470	L1HS	5UTR	+	2	0	2	904	0.997792	0.997792
CM000511.1	9025376	9026282	L1HS	5UTR	-	4	0	0	906	0.995585	1
CM000474.1	39607027	39607933	L1HS	5UTR	+	4	0	0	906	0.995585	1
CM000464.1	106292203	106293109	L1HS	5UTR	+	4	0	0	906	0.995585	1
CM000497.1	135922243	135923149	L1HS	5UTR	-	4	0	0	906	0.995585	1
CM000503.1	39606280	39607186	L1HS	5UTR	+	4	0	0	906	0.995585	1
CM000482.1	9025202	9026108	L1HS	5UTR	-	4	0	0	906	0.995585	1
CM000476.1	24338354	24339261	L1HS	5UTR	-	3	1	0	907	0.996689	0.998896
CM000505.1	24338776	24339683	L1HS	5UTR	-	3	1	0	907	0.996689	0.998896
CM000462.1	65658366	65659268	L1HS	5UTR	-	2	0	4	902	0.997792	0.995585
CM000493.1	113454952	113455856	L1HS	5UTR	+	3	0	2	904	0.996689	0.997792
CM000464.1	113454495	113455399	L1HS	5UTR	+	3	0	2	904	0.996689	0.997792
CM000502.1	123756686	123757590	L1HS	5UTR	-	3	0	2	904	0.996689	0.997792
CM000491.1	65658244	65659146	L1HS	5UTR	-	2	0	4	902	0.997792	0.995585
CM000473.1	123757103	123758007	L1HS	5UTR	-	3	0	2	904	0.996689	0.997792
CM000470.1	85163192	85164096	L1HS	5UTR	-	3	0	2	904	0.996689	0.997792
CM000499.1	85162525	85163429	L1HS	5UTR	-	3	0	2	904	0.996689	0.997792
CM000500.1	100774083	100774989	L1HS	5UTR	-	5	0	0	906	0.994481	1
CM000493.1	156214085	156214991	L1HS	5UTR	-	5	0	0	906	0.994481	1
CM000464.1	156214022	156214928	L1HS	5UTR	-	5	0	0	906	0.994481	1
CM000468.1	135922014	135922920	L1HS	5UTR	-	5	0	0	906	0.994481	1
CM000466.1	104658444	104659350	L1HS	5UTR	-	5	0	0	906	0.994481	1
CM000471.1	100774191	100775097	L1HS	5UTR	-	5	0	0	906	0.994481	1
CM000495.1	104658858	104659764	L1HS	5UTR	-	5	0	0	906	0.994481	1
CM000497.1	105257315	105258221	L1HS	5UTR	-	6	0	0	906	0.993377	1
CM000493.1	20695461	20696367	L1HS	5UTR	-	6	0	0	906	0.993377	1
CM000464.1	89528694	89529600	L1HS	5UTR	-	6	0	0	906	0.993377	1
CM000464.1	20695629	20696535	L1HS	5UTR	-	6	0	0	906	0.993377	1
CM000493.1	89528882	89529788	L1HS	5UTR	-	6	0	0	906	0.993377	1
CM000510.1	23368307	23369212	L1HS	5UTR	+	3	1	2	905	0.996689	0.998896
CM000467.1	70901937	70902844	L1HS	5UTR	-	5	1	0	907	0.994481	0.998896
CM000467.1	126900774	126901681	L1HS	5UTR	+	5	1	0	907	0.994481	0.998896
CM000496.1	126900687	126901594	L1HS	5UTR	+	5	1	0	907	0.994481	0.998896
CM000495.1	167930664	167931571	L1HS	5UTR	-	5	1	0	907	0.994481	0.998896
CM000467.1	13440758	13441665	L1HS	5UTR	+	5	1	0	907	0.994481	0.998896
CM000496.1	110599757	110600664	L1HS	5UTR	+	5	1	0	907	0.994481	0.998896
CM000466.1	167930356	167931263	L1HS	5UTR	-	5	1	0	907	0.994481	0.998896
CM000496.1	70902057	70902964	L1HS	5UTR	-	5	1	0	907	0.994481	0.998896
CM000502.1	67222212	67223119	L1HS	5UTR	-	5	1	0	907	0.994481	0.998896
CM000496.1	13441060	13441967	L1HS	5UTR	+	5	1	0	907	0.994481	0.998896
CM000508.1	32259117	32260024	L1HS	5UTR	+	5	1	0	907	0.994481	0.998896
CM000499.1	82780355	82781262	L1HS	5UTR	+	5	1	0	907	0.994481	0.998896
CM000468.1	65840609	65841515	L1HS	5UTR	+	4	1	1	906	0.995585	1
CM000497.1	65841001	65841907	L1HS	5UTR	+	4	1	1	906	0.995585	1
CM000494.1	142947300	142948210	L1HS	5UTR	+	4	4	0	910	0.995585	0.995585
CM000465.1	132948320	132949224	L1HS	5UTR	-	5	0	2	904	0.994481	0.997792
CM000465.1	142946318	142947228	L1HS	5UTR	+	4	4	0	910	0.995585	0.995585
CM000491.1	150803815	150804719	L1HS	5UTR	-	5	0	2	904	0.994481	0.997792
CM000462.1	150804918	150805822	L1HS	5UTR	-	5	0	2	904	0.994481	0.997792
CM000472.1	24038225	24039131	L1HS	5UTR	+	7	0	0	906	0.992274	1
CM000501.1	24037984	24038890	L1HS	5UTR	+	7	0	0	906	0.992274	1
CM000468.1	105256736	105257642	L1HS	5UTR	-	7	0	0	906	0.992274	1
CM000481.1	23368392	23369297	L1HS	5UTR	+	4	1	2	905	0.995585	0.998896
CM000484.1	57300291	57301198	L1HS	5UTR	-	6	1	0	907	0.993377	0.998896
CM000492.1	96952656	96953563	L1HS	5UTR	-	6	1	0	907	0.993377	0.998896
CM000463.1	96952336	96953243	L1HS	5UTR	-	6	1	0	907	0.993377	0.998896
CM000492.1	121878248	121879155	L1HS	5UTR	+	6	1	0	907	0.993377	0.998896
CM000473.1	67222352	67223259	L1HS	5UTR	-	6	1	0	907	0.993377	0.998896
CM000491.1	180761655	180762562	L1HS	5UTR	-	6	1	0	907	0.993377	0.998896
CM000513.1	57300335	57301242	L1HS	5UTR	-	6	1	0	907	0.993377	0.998896
CM000467.1	2295497	2296404	L1HS	5UTR	-	6	1	0	907	0.993377	0.998896
CM000491.1	152070848	152071755	L1HS	5UTR	-	6	1	0	907	0.993377	0.998896
CM000463.1	121878035	121878942	L1HS	5UTR	+	6	1	0	907	0.993377	0.998896
CM000463.1	122481484	122482388	L1HS	5UTR	-	3	1	3	904	0.996689	0.997792
CM000463.1	22930784	22931688	L1HS	5UTR	-	6	0	2	904	0.993377	0.997792
CM000495.1	150587537	150588447	L1HS	5UTR	-	5	4	0	910	0.994481	0.995585
CM000492.1	22930720	22931624	L1HS	5UTR	-	6	0	2	904	0.993377	0.997792
CM000494.1	132949178	132950082	L1HS	5UTR	-	6	0	2	904	0.993377	0.997792
CM000472.1	74691023	74691928	L1HS	5UTR	-	5	1	2	905	0.994481	0.998896
CM000501.1	74690272	74691177	L1HS	5UTR	-	5	1	2	905	0.994481	0.998896
ABBA01008072.1	39	944	L1HS	5UTR	-	5	1	2	905	0.994481	0.998896
ABSL01180546.1	39	944	L1HS	5UTR	-	5	1	2	905	0.994481	0.998896
CM000499.1	66557124	66558029	L1HS	5UTR	-	5	1	2	905	0.994481	0.998896
CM000472.1	31035660	31036567	L1HS	5UTR	-	7	1	0	907	0.992274	0.998896
CM000465.1	166196551	166197458	L1HS	5UTR	-	7	1	0	907	0.992274	0.998896
CM000470.1	82781046	82781953	L1HS	5UTR	+	7	1	0	907	0.992274	0.998896
CM000491.1	207693890	207694797	L1HS	5UTR	+	7	1	0	907	0.992274	0.998896
CM000491.1	84324390	84325297	L1HS	5UTR	+	7	1	0	907	0.992274	0.998896
CM000496.1	2295576	2296483	L1HS	5UTR	-	7	1	0	907	0.992274	0.998896
CM000477.1	59629545	59630452	L1HS	5UTR	-	7	1	0	907	0.992274	0.998896
CM000500.1	5222255	5223162	L1HS	5UTR	+	7	1	0	907	0.992274	0.998896
CM000462.1	207694863	207695770	L1HS	5UTR	+	7	1	0	907	0.992274	0.998896
CM000467.1	110599921	110600828	L1HS	5UTR	+	7	1	0	907	0.992274	0.998896
CM000462.1	152071969	152072876	L1HS	5UTR	-	7	1	0	907	0.992274	0.998896
CM000494.1	166197776	166198683	L1HS	5UTR	-	7	1	0	907	0.992274	0.998896
CM000501.1	31035559	31036466	L1HS	5UTR	-	7	1	0	907	0.992274	0.998896
CM000506.1	59630358	59631265	L1HS	5UTR	-	7	1	0	907	0.992274	0.998896
